MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model Year,Origin,Car Name
18.0,8,307.0,130.0,3504.0,12.0,1970,1,chevrolet chevelle malibu
15.0,8,350.0,165.0,3693.0,11.5,1970,1,buick skylark 320
18.0,8,318.0,150.0,3436.0,11.0,1970,1,plymouth satellite
16.0,8,304.0,150.0,3433.0,12.0,1970,1,amc rebel sst
17.0,8,302.0,140.0,3449.0,10.5,1970,1,ford torino
15.0,8,429.0,198.0,4341.0,10.0,1970,1,ford galaxie 500
14.0,8,454.0,220.0,4354.0,9.0,1970,1,chevrolet impala
14.0,8,440.0,215.0,4312.0,8.5,1970,1,plymouth fury iii
14.0,8,455.0,225.0,4425.0,10.0,1970,1,pontiac catalina
15.0,8,390.0,190.0,3850.0,8.5,1970,1,amc ambassador dpl
15.0,8,383.0,170.0,3563.0,10.0,1970,1,dodge challenger se
14.0,8,340.0,160.0,3609.0,8.0,1970,1,plymouth 'cuda 340
15.0,8,400.0,150.0,3761.0,9.5,1970,1,chevrolet monte carlo
14.0,8,455.0,225.0,3086.0,10.0,1970,1,buick estate wagon (sw)
24.0,4,113.0,95.0,2372.0,15.0,1970,3,toyota corona mark ii
22.0,6,198.0,95.0,2833.0,15.5,1970,1,plymouth duster
18.0,6,199.0,97.0,2774.0,15.5,1970,1,amc hornet
21.0,6,200.0,85.0,2587.0,16.0,1970,1,ford maverick
27.0,4,97.0,88.0,2130.0,14.5,1970,3,datsun pl510
26.0,4,97.0,46.0,1835.0,20.5,1970,2,volkswagen 1131 deluxe sedan
25.0,4,110.0,87.0,2672.0,17.5,1970,2,peugeot 504
24.0,4,107.0,90.0,2430.0,14.5,1970,2,audi 100 ls
25.0,4,104.0,95.0,2375.0,17.5,1970,2,saab 99e
26.0,4,121.0,113.0,2234.0,12.5,1970,2,bmw 2002
21.0,6,199.0,90.0,2648.0,15.0,1970,1,amc gremlin
10.0,8,360.0,215.0,4615.0,14.0,1970,1,ford f250
10.0,8,307.0,200.0,4376.0,15.0,1970,1,chevy c20
11.0,8,318.0,210.0,4382.0,13.5,1970,1,dodge d200
9.0,8,304.0,193.0,4732.0,18.5,1970,1,hi 1200d
27.0,4,97.0,88.0,2130.0,14.5,1971,3,datsun pl510
28.0,4,140.0,90.0,2264.0,15.5,1971,1,chevrolet vega 2300
25.0,4,113.0,95.0,2228.0,14.0,1971,3,toyota corona
19.0,6,232.0,100.0,2634.0,13.0,1971,1,amc gremlin
16.0,6,225.0,105.0,3439.0,15.5,1971,1,plymouth satellite custom
17.0,6,250.0,100.0,3329.0,15.5,1971,1,chevrolet chevelle malibu
19.0,6,250.0,88.0,3302.0,15.5,1971,1,ford torino 500
18.0,6,232.0,100.0,3288.0,15.5,1971,1,amc matador
14.0,8,350.0,165.0,4209.0,12.0,1971,1,chevrolet impala
14.0,8,400.0,175.0,4464.0,11.5,1971,1,pontiac catalina brougham
14.0,8,351.0,153.0,4154.0,13.5,1971,1,ford galaxie 500
14.0,8,318.0,150.0,4096.0,13.0,1971,1,plymouth fury iii
12.0,8,383.0,180.0,4955.0,11.5,1971,1,dodge monaco (sw)
13.0,8,400.0,170.0,4746.0,12.0,1971,1,ford country squire (sw)
13.0,8,400.0,175.0,5140.0,12.0,1971,1,pontiac safari (sw)
18.0,6,258.0,110.0,2962.0,13.5,1971,1,amc hornet sportabout (sw)
22.0,4,140.0,72.0,2408.0,19.0,1971,1,chevrolet vega (sw)
19.0,6,250.0,100.0,3282.0,15.0,1971,1,pontiac firebird
18.0,6,250.0,88.0,3139.0,14.5,1971,1,ford mustang
23.0,4,122.0,86.0,2220.0,14.0,1971,1,mercury capri 2000
28.0,4,116.0,90.0,2123.0,14.0,1971,2,opel 1900
30.0,4,79.0,70.0,2074.0,19.5,1971,2,peugeot 304
30.0,4,88.0,76.0,2065.0,14.5,1971,2,fiat 124b
31.0,4,71.0,65.0,1773.0,19.0,1971,3,toyota corolla 1200
35.0,4,72.0,69.0,1613.0,18.0,1971,3,datsun 1200
27.0,4,97.0,60.0,1834.0,19.0,1971,2,volkswagen model 111
26.0,4,91.0,70.0,1955.0,20.5,1971,1,plymouth cricket
24.0,4,113.0,95.0,2278.0,15.5,1972,3,toyota corona hardtop
25.0,4,97.5,80.0,2126.0,17.0,1972,1,dodge colt hardtop
23.0,4,97.0,54.0,2254.0,23.5,1972,2,volkswagen type 3
20.0,4,140.0,90.0,2408.0,19.5,1972,1,chevrolet vega
21.0,4,122.0,86.0,2226.0,16.5,1972,1,ford pinto runabout
13.0,8,350.0,165.0,4274.0,12.0,1972,1,chevrolet impala
14.0,8,400.0,175.0,4385.0,12.0,1972,1,pontiac catalina
15.0,8,318.0,150.0,4135.0,13.5,1972,1,plymouth fury iii
14.0,8,351.0,153.0,4129.0,13.0,1972,1,ford galaxie 500
17.0,8,304.0,150.0,3672.0,11.5,1972,1,amc ambassador sst
11.0,8,429.0,208.0,4633.0,11.0,1972,1,mercury marquis
13.0,8,350.0,155.0,4502.0,13.5,1972,1,buick lesabre custom
12.0,8,350.0,160.0,4456.0,13.5,1972,1,oldsmobile delta 88 royale
13.0,8,400.0,190.0,4422.0,12.5,1972,1,chrysler newport royal
19.0,3,70.0,97.0,2330.0,13.5,1972,3,mazda rx2 coupe
15.0,8,304.0,150.0,3892.0,12.5,1972,1,amc matador (sw)
13.0,8,307.0,130.0,4098.0,14.0,1972,1,chevrolet chevelle concours (sw)
13.0,8,302.0,140.0,4294.0,16.0,1972,1,ford gran torino (sw)
14.0,8,318.0,150.0,4077.0,14.0,1972,1,plymouth satellite custom (sw)
18.0,4,121.0,112.0,2933.0,14.5,1972,2,volvo 145e (sw)
22.0,4,121.0,76.0,2511.0,18.0,1972,2,volkswagen 411 (sw)
21.0,4,120.0,87.0,2979.0,19.5,1972,2,peugeot 504 (sw)
26.0,4,96.0,69.0,2189.0,18.0,1972,2,renault 12 (sw)
22.0,4,122.0,86.0,2395.0,16.0,1972,1,ford pinto (sw)
28.0,4,97.0,92.0,2288.0,17.0,1972,3,datsun 510 (sw)
23.0,4,120.0,97.0,2506.0,14.5,1972,3,toyouta corona mark ii (sw)
28.0,4,98.0,80.0,2164.0,15.0,1972,1,dodge colt (sw)
27.0,4,97.0,88.0,2100.0,16.5,1972,3,toyota corolla 1600 (sw)
13.0,8,350.0,175.0,4100.0,13.0,1973,1,buick century 350
14.0,8,304.0,150.0,3672.0,11.5,1973,1,amc matador
13.0,8,350.0,145.0,3988.0,13.0,1973,1,chevrolet malibu
14.0,8,302.0,137.0,4042.0,14.5,1973,1,ford gran torino
15.0,8,318.0,150.0,3777.0,12.5,1973,1,dodge coronet custom
12.0,8,429.0,198.0,4952.0,11.5,1973,1,mercury marquis brougham
13.0,8,400.0,150.0,4464.0,12.0,1973,1,chevrolet caprice classic
13.0,8,351.0,158.0,4363.0,13.0,1973,1,ford ltd
14.0,8,318.0,150.0,4237.0,14.5,1973,1,plymouth fury gran sedan
13.0,8,440.0,215.0,4735.0,11.0,1973,1,chrysler new yorker brougham
12.0,8,455.0,225.0,4951.0,11.0,1973,1,buick electra 225 custom
13.0,8,360.0,175.0,3821.0,11.0,1973,1,amc ambassador brougham
18.0,6,225.0,105.0,3121.0,16.5,1973,1,plymouth valiant
16.0,6,250.0,100.0,3278.0,18.0,1973,1,chevrolet nova custom
18.0,6,232.0,100.0,2945.0,16.0,1973,1,amc hornet
18.0,6,250.0,88.0,3021.0,16.5,1973,1,ford maverick
23.0,6,198.0,95.0,2904.0,16.0,1973,1,plymouth duster
26.0,4,97.0,46.0,1950.0,21.0,1973,2,volkswagen super beetle
11.0,8,400.0,150.0,4997.0,14.0,1973,1,chevrolet impala
12.0,8,400.0,167.0,4906.0,12.5,1973,1,ford country
13.0,8,360.0,170.0,4654.0,13.0,1973,1,plymouth custom suburb
12.0,8,350.0,180.0,4499.0,12.5,1973,1,oldsmobile vista cruiser
18.0,6,232.0,100.0,2789.0,15.0,1973,1,amc gremlin
20.0,4,97.0,88.0,2279.0,19.0,1973,3,toyota carina
21.0,4,140.0,72.0,2401.0,19.5,1973,1,chevrolet vega
22.0,4,108.0,94.0,2379.0,16.5,1973,3,datsun 610
18.0,3,70.0,90.0,2124.0,13.5,1973,3,maxda rx3
19.0,4,122.0,85.0,2310.0,18.5,1973,1,ford pinto
21.0,6,155.0,107.0,2472.0,14.0,1973,1,mercury capri v6
26.0,4,98.0,90.0,2265.0,15.5,1973,2,fiat 124 sport coupe
15.0,8,350.0,145.0,4082.0,13.0,1973,1,chevrolet monte carlo s
16.0,8,400.0,230.0,4278.0,9.5,1973,1,pontiac grand prix
29.0,4,68.0,49.0,1867.0,19.5,1973,2,fiat 128
24.0,4,116.0,75.0,2158.0,15.5,1973,2,opel manta
20.0,4,114.0,91.0,2582.0,14.0,1973,2,audi 100ls
19.0,4,121.0,112.0,2868.0,15.5,1973,2,volvo 144ea
15.0,8,318.0,150.0,3399.0,11.0,1973,1,dodge dart custom
24.0,4,121.0,110.0,2660.0,14.0,1973,2,saab 99le
20.0,6,156.0,122.0,2807.0,13.5,1973,3,toyota mark ii
11.0,8,350.0,180.0,3664.0,11.0,1973,1,oldsmobile omega
20.0,6,198.0,95.0,3102.0,16.5,1974,1,plymouth duster
19.0,6,232.0,100.0,2901.0,16.0,1974,1,amc hornet
15.0,6,250.0,100.0,3336.0,17.0,1974,1,chevrolet nova
31.0,4,79.0,67.0,1950.0,19.0,1974,3,datsun b210
26.0,4,122.0,80.0,2451.0,16.5,1974,1,ford pinto
32.0,4,71.0,65.0,1836.0,21.0,1974,3,toyota corolla 1200
25.0,4,140.0,75.0,2542.0,17.0,1974,1,chevrolet vega
16.0,6,250.0,100.0,3781.0,17.0,1974,1,chevrolet chevelle malibu classic
16.0,6,258.0,110.0,3632.0,18.0,1974,1,amc matador
18.0,6,225.0,105.0,3613.0,16.5,1974,1,plymouth satellite sebring
16.0,8,302.0,140.0,4141.0,14.0,1974,1,ford gran torino
13.0,8,350.0,150.0,4699.0,14.5,1974,1,buick century luxus (sw)
14.0,8,318.0,150.0,4457.0,13.5,1974,1,dodge coronet custom (sw)
14.0,8,302.0,140.0,4638.0,16.0,1974,1,ford gran torino (sw)
14.0,8,304.0,150.0,4257.0,15.5,1974,1,amc matador (sw)
29.0,4,98.0,83.0,2219.0,16.5,1974,2,audi fox
26.0,4,79.0,67.0,1963.0,15.5,1974,2,volkswagen dasher
26.0,4,97.0,78.0,2300.0,14.5,1974,2,opel manta
31.0,4,76.0,52.0,1649.0,16.5,1974,3,toyota corona
32.0,4,83.0,61.0,2003.0,19.0,1974,3,datsun 710
28.0,4,90.0,75.0,2125.0,14.5,1974,1,dodge colt
24.0,4,90.0,75.0,2108.0,15.5,1974,2,fiat 128
26.0,4,116.0,75.0,2246.0,14.0,1974,2,fiat 124 tc
24.0,4,120.0,97.0,2489.0,15.0,1974,3,honda civic
26.0,4,108.0,93.0,2391.0,15.5,1974,3,subaru
31.0,4,79.0,67.0,2000.0,16.0,1974,2,fiat x1.9
19.0,6,225.0,95.0,3264.0,16.0,1975,1,plymouth valiant custom
18.0,6,250.0,105.0,3459.0,16.0,1975,1,chevrolet nova
15.0,6,250.0,72.0,3432.0,21.0,1975,1,mercury monarch
15.0,6,250.0,72.0,3158.0,19.5,1975,1,ford maverick
16.0,8,400.0,170.0,4668.0,11.5,1975,1,pontiac catalina
15.0,8,350.0,145.0,4440.0,14.0,1975,1,chevrolet bel air
16.0,8,318.0,150.0,4498.0,14.5,1975,1,plymouth grand fury
14.0,8,351.0,148.0,4657.0,13.5,1975,1,ford ltd
17.0,6,231.0,110.0,3907.0,21.0,1975,1,buick century
16.0,6,250.0,105.0,3897.0,18.5,1975,1,chevroelt chevelle malibu
15.0,6,258.0,110.0,3730.0,19.0,1975,1,amc matador
18.0,6,225.0,95.0,3785.0,19.0,1975,1,plymouth fury
21.0,6,231.0,110.0,3039.0,15.0,1975,1,buick skyhawk
20.0,8,262.0,110.0,3221.0,13.5,1975,1,chevrolet monza 2+2
13.0,8,302.0,129.0,3169.0,12.0,1975,1,ford mustang ii
29.0,4,97.0,75.0,2171.0,16.0,1975,3,toyota corolla
23.0,4,140.0,83.0,2639.0,17.0,1975,1,ford pinto
20.0,6,232.0,100.0,2914.0,16.0,1975,1,amc gremlin
23.0,4,140.0,78.0,2592.0,18.5,1975,1,pontiac astro
24.0,4,134.0,96.0,2702.0,13.5,1975,3,toyota corona
25.0,4,90.0,71.0,2223.0,16.5,1975,2,volkswagen dasher
24.0,4,119.0,97.0,2545.0,17.0,1975,3,datsun 710
18.0,6,171.0,97.0,2984.0,14.5,1975,1,ford pinto
29.0,4,90.0,70.0,1937.0,14.0,1975,2,volkswagen rabbit
19.0,6,232.0,90.0,3211.0,17.0,1975,1,amc pacer
23.0,4,115.0,95.0,2694.0,15.0,1975,2,audi 100ls
23.0,4,120.0,88.0,2957.0,17.0,1975,2,peugeot 504
22.0,4,121.0,98.0,2945.0,14.5,1975,2,volvo 244dl
25.0,4,121.0,115.0,2671.0,13.5,1975,2,saab 99le
33.0,4,91.0,53.0,1795.0,17.5,1975,3,honda civic cvcc
28.0,4,107.0,86.0,2464.0,15.5,1976,2,fiat 131
25.0,4,116.0,81.0,2220.0,16.9,1976,2,opel 1900
25.0,4,140.0,92.0,2572.0,14.9,1976,1,capri ii
26.0,4,98.0,79.0,2255.0,17.7,1976,1,dodge colt
27.0,4,101.0,83.0,2202.0,15.3,1976,2,renault 12tl
17.5,8,305.0,140.0,4215.0,13.0,1976,1,chevrolet chevelle malibu classic
16.0,8,318.0,150.0,4190.0,13.0,1976,1,dodge coronet brougham
15.5,8,304.0,120.0,3962.0,13.9,1976,1,amc matador
14.5,8,351.0,152.0,4215.0,12.8,1976,1,ford gran torino
22.0,6,225.0,100.0,3233.0,15.4,1976,1,plymouth valiant
22.0,6,250.0,105.0,3353.0,14.5,1976,1,chevrolet nova
24.0,6,200.0,81.0,3012.0,17.6,1976,1,ford maverick
22.5,6,232.0,90.0,3085.0,17.6,1976,1,amc hornet
29.0,4,85.0,52.0,2035.0,22.2,1976,1,chevrolet chevette
24.5,4,98.0,60.0,2164.0,22.1,1976,1,chevrolet woody
29.0,4,90.0,70.0,1937.0,14.2,1976,2,vw rabbit
33.0,4,91.0,53.0,1795.0,17.4,1976,3,honda civic
20.0,6,225.0,100.0,3651.0,17.7,1976,1,dodge aspen se
18.0,6,250.0,78.0,3574.0,21.0,1976,1,ford granada ghia
18.5,6,250.0,110.0,3645.0,16.2,1976,1,pontiac ventura sj
17.5,6,258.0,95.0,3193.0,17.8,1976,1,amc pacer d/l
29.5,4,97.0,71.0,1825.0,12.2,1976,2,volkswagen rabbit
32.0,4,85.0,70.0,1990.0,17.0,1976,3,datsun b-210
28.0,4,97.0,75.0,2155.0,16.4,1976,3,toyota corolla
26.5,4,140.0,72.0,2565.0,13.6,1976,1,ford pinto
20.0,4,130.0,102.0,3150.0,15.7,1976,2,volvo 245
13.0,8,318.0,150.0,3940.0,13.2,1976,1,plymouth volare premier v8
19.0,4,120.0,88.0,3270.0,21.9,1976,2,peugeot 504
19.0,6,156.0,108.0,2930.0,15.5,1976,3,toyota mark ii
16.5,6,168.0,120.0,3820.0,16.7,1976,2,mercedes-benz 280s
16.5,8,350.0,180.0,4380.0,12.1,1976,1,cadillac seville
13.0,8,350.0,145.0,4055.0,12.0,1976,1,chevy c10
13.0,8,302.0,130.0,3870.0,15.0,1976,1,ford f108
13.0,8,318.0,150.0,3755.0,14.0,1976,1,dodge d100
31.5,4,98.0,68.0,2045.0,18.5,1977,3,honda accord cvcc
30.0,4,111.0,80.0,2155.0,14.8,1977,1,buick opel isuzu deluxe
36.0,4,79.0,58.0,1825.0,18.6,1977,2,renault 5 gtl
25.5,4,122.0,96.0,2300.0,15.5,1977,1,plymouth arrow gs
33.5,4,85.0,70.0,1945.0,16.8,1977,3,datsun f-10 hatchback
17.5,8,305.0,145.0,3880.0,12.5,1977,1,chevrolet caprice classic
17.0,8,260.0,110.0,4060.0,19.0,1977,1,oldsmobile cutlass supreme
15.5,8,318.0,145.0,4140.0,13.7,1977,1,dodge monaco brougham
15.0,8,302.0,130.0,4295.0,14.9,1977,1,mercury cougar brougham
17.5,6,250.0,110.0,3520.0,16.4,1977,1,chevrolet concours
20.5,6,231.0,105.0,3425.0,16.9,1977,1,buick skylark
19.0,6,225.0,100.0,3630.0,17.7,1977,1,plymouth volare custom
18.5,6,250.0,98.0,3525.0,19.0,1977,1,ford granada
16.0,8,400.0,180.0,4220.0,11.1,1977,1,pontiac grand prix lj
15.5,8,350.0,170.0,4165.0,11.4,1977,1,chevrolet monte carlo landau
15.5,8,400.0,190.0,4325.0,12.2,1977,1,chrysler cordoba
16.0,8,351.0,149.0,4335.0,14.5,1977,1,ford thunderbird
29.0,4,97.0,78.0,1940.0,14.5,1977,2,volkswagen rabbit custom
24.5,4,151.0,88.0,2740.0,16.0,1977,1,pontiac sunbird coupe
26.0,4,97.0,75.0,2265.0,18.2,1977,3,toyota corolla liftback
25.5,4,140.0,89.0,2755.0,15.8,1977,1,ford mustang ii 2+2
30.5,4,98.0,63.0,2051.0,17.0,1977,1,chevrolet chevette
33.5,4,98.0,83.0,2075.0,15.9,1977,1,dodge colt m/m
30.0,4,97.0,67.0,1985.0,16.4,1977,3,subaru dl
30.5,4,97.0,78.0,2190.0,14.1,1977,2,volkswagen dasher
22.0,6,146.0,97.0,2815.0,14.5,1977,3,datsun 810
21.5,4,121.0,110.0,2600.0,12.8,1977,2,bmw 320i
21.5,3,80.0,110.0,2720.0,13.5,1977,3,mazda rx-4
43.1,4,90.0,48.0,1985.0,21.5,1978,2,volkswagen rabbit custom diesel
36.1,4,98.0,66.0,1800.0,14.4,1978,1,ford fiesta
32.8,4,78.0,52.0,1985.0,19.4,1978,3,mazda glc deluxe
39.4,4,85.0,70.0,2070.0,18.6,1978,3,datsun b210 gx
36.1,4,91.0,60.0,1800.0,16.4,1978,3,honda civic cvcc
19.9,8,260.0,110.0,3365.0,15.5,1978,1,oldsmobile cutlass salon brougham
19.4,8,318.0,140.0,3735.0,13.2,1978,1,dodge diplomat
20.2,8,302.0,139.0,3570.0,12.8,1978,1,mercury monarch ghia
19.2,6,231.0,105.0,3535.0,19.2,1978,1,pontiac phoenix lj
20.5,6,200.0,95.0,3155.0,18.2,1978,1,chevrolet malibu
20.2,6,200.0,85.0,2965.0,15.8,1978,1,ford fairmont (auto)
25.1,4,140.0,88.0,2720.0,15.4,1978,1,ford fairmont (man)
20.5,6,225.0,100.0,3430.0,17.2,1978,1,plymouth volare
19.4,6,232.0,90.0,3210.0,17.2,1978,1,amc concord
20.6,6,231.0,105.0,3380.0,15.8,1978,1,buick century special
20.8,6,200.0,85.0,3070.0,16.7,1978,1,mercury zephyr
18.6,6,225.0,110.0,3620.0,18.7,1978,1,dodge aspen
18.1,6,258.0,120.0,3410.0,15.1,1978,1,amc concord d/l
19.2,8,305.0,145.0,3425.0,13.2,1978,1,chevrolet monte carlo landau
17.7,6,231.0,165.0,3445.0,13.4,1978,1,buick regal sport coupe (turbo)
18.1,8,302.0,139.0,3205.0,11.2,1978,1,ford futura
17.5,8,318.0,140.0,4080.0,13.7,1978,1,dodge magnum xe
30.0,4,98.0,68.0,2155.0,16.5,1978,1,chevrolet chevette
27.5,4,134.0,95.0,2560.0,14.2,1978,3,toyota corona
27.2,4,119.0,97.0,2300.0,14.7,1978,3,datsun 510
30.9,4,105.0,75.0,2230.0,14.5,1978,1,dodge omni
21.1,4,134.0,95.0,2515.0,14.8,1978,3,toyota celica gt liftback
23.2,4,156.0,105.0,2745.0,16.7,1978,1,plymouth sapporo
23.8,4,151.0,85.0,2855.0,17.6,1978,1,oldsmobile starfire sx
23.9,4,119.0,97.0,2405.0,14.9,1978,3,datsun 200-sx
20.3,5,131.0,103.0,2830.0,15.9,1978,2,audi 5000
17.0,6,163.0,125.0,3140.0,13.6,1978,2,volvo 264gl
21.6,4,121.0,115.0,2795.0,15.7,1978,2,saab 99gle
16.2,6,163.0,133.0,3410.0,15.8,1978,2,peugeot 604sl
31.5,4,89.0,71.0,1990.0,14.9,1978,2,volkswagen scirocco
29.5,4,98.0,68.0,2135.0,16.6,1978,3,honda accord lx
21.5,6,231.0,115.0,3245.0,15.4,1979,1,pontiac lemans v6
19.8,6,200.0,85.0,2990.0,18.2,1979,1,mercury zephyr 6
22.3,4,140.0,88.0,2890.0,17.3,1979,1,ford fairmont 4
20.2,6,232.0,90.0,3265.0,18.2,1979,1,amc concord dl 6
20.6,6,225.0,110.0,3360.0,16.6,1979,1,dodge aspen 6
17.0,8,305.0,130.0,3840.0,15.4,1979,1,chevrolet caprice classic
17.6,8,302.0,129.0,3725.0,13.4,1979,1,ford ltd landau
16.5,8,351.0,138.0,3955.0,13.2,1979,1,mercury grand marquis
18.2,8,318.0,135.0,3830.0,15.2,1979,1,dodge st. regis
16.9,8,350.0,155.0,4360.0,14.9,1979,1,buick estate wagon (sw)
15.5,8,351.0,142.0,4054.0,14.3,1979,1,ford country squire (sw)
19.2,8,267.0,125.0,3605.0,15.0,1979,1,chevrolet malibu classic (sw)
18.5,8,360.0,150.0,3940.0,13.0,1979,1,chrysler lebaron town @ country (sw)
31.9,4,89.0,71.0,1925.0,14.0,1979,2,vw rabbit custom
34.1,4,86.0,65.0,1975.0,15.2,1979,3,maxda glc deluxe
35.7,4,98.0,80.0,1915.0,14.4,1979,1,dodge colt hatchback custom
27.4,4,121.0,80.0,2670.0,15.0,1979,1,amc spirit dl
25.4,5,183.0,77.0,3530.0,20.1,1979,2,mercedes benz 300d
23.0,8,350.0,125.0,3900.0,17.4,1979,1,cadillac eldorado
27.2,4,141.0,71.0,3190.0,24.8,1979,2,peugeot 504
23.9,8,260.0,90.0,3420.0,22.2,1979,1,oldsmobile cutlass salon brougham
34.2,4,105.0,70.0,2200.0,13.2,1979,1,plymouth horizon
34.5,4,105.0,70.0,2150.0,14.9,1979,1,plymouth horizon tc3
31.8,4,85.0,65.0,2020.0,19.2,1979,3,datsun 210
37.3,4,91.0,69.0,2130.0,14.7,1979,2,fiat strada custom
28.4,4,151.0,90.0,2670.0,16.0,1979,1,buick skylark limited
28.8,6,173.0,115.0,2595.0,11.3,1979,1,chevrolet citation
26.8,6,173.0,115.0,2700.0,12.9,1979,1,oldsmobile omega brougham
33.5,4,151.0,90.0,2556.0,13.2,1979,1,pontiac phoenix
41.5,4,98.0,76.0,2144.0,14.7,1980,2,vw rabbit
38.1,4,89.0,60.0,1968.0,18.8,1980,3,toyota corolla tercel
32.1,4,98.0,70.0,2120.0,15.5,1980,1,chevrolet chevette
37.2,4,86.0,65.0,2019.0,16.4,1980,3,datsun 310
28.0,4,151.0,90.0,2678.0,16.5,1980,1,chevrolet citation
26.4,4,140.0,88.0,2870.0,18.1,1980,1,ford fairmont
24.3,4,151.0,90.0,3003.0,20.1,1980,1,amc concord
19.1,6,225.0,90.0,3381.0,18.7,1980,1,dodge aspen
34.3,4,97.0,78.0,2188.0,15.8,1980,2,audi 4000
29.8,4,134.0,90.0,2711.0,15.5,1980,3,toyota corona liftback
31.3,4,120.0,75.0,2542.0,17.5,1980,3,mazda 626
37.0,4,119.0,92.0,2434.0,15.0,1980,3,datsun 510 hatchback
32.2,4,108.0,75.0,2265.0,15.2,1980,3,toyota corolla
46.6,4,86.0,65.0,2110.0,17.9,1980,3,mazda glc
27.9,4,156.0,105.0,2800.0,14.4,1980,1,dodge colt
40.8,4,85.0,65.0,2110.0,19.2,1980,3,datsun 210
44.3,4,90.0,48.0,2085.0,21.7,1980,2,vw rabbit c (diesel)
43.4,4,90.0,48.0,2335.0,23.7,1980,2,vw dasher (diesel)
36.4,5,121.0,67.0,2950.0,19.9,1980,2,audi 5000s (diesel)
30.0,4,146.0,67.0,3250.0,21.8,1980,2,mercedes-benz 240d
44.6,4,91.0,67.0,1850.0,13.8,1980,3,honda civic 1500 gl
33.8,4,97.0,67.0,2145.0,18.0,1980,3,subaru dl
29.8,4,89.0,62.0,1845.0,15.3,1980,2,vokswagen rabbit
